,clean
5929,"regular unleaded,MANUAL,front wheel drive,Hatchback,Factory Tuner,Luxury,Performance,Compact,2dr Hatchback,Acura Integra"
5930,"regular unleaded,MANUAL,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Acura Integra"
5931,"premium unleaded (required),MANUAL,front wheel drive,Luxury,Performance,Compact,Sedan,Acura Integra"
5932,"regular unleaded,MANUAL,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Acura Integra"
5933,"regular unleaded,MANUAL,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Acura Integra"
5934,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Acura Integra"
5935,"regular unleaded,MANUAL,front wheel drive,Luxury,Compact,Sedan,Acura Integra"
5936,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Luxury,Compact,2dr Hatchback,Acura Integra"
5937,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Compact,Sedan,Acura Integra"
5938,"regular unleaded,AUTOMATIC,front wheel drive,Luxury,Compact,Sedan,Acura Integra"
5939,"premium unleaded (required),MANUAL,front wheel drive,Hatchback,Factory Tuner,Luxury,Performance,Compact,2dr Hatchback,Acura Integra"
5940,"regular unleaded,MANUAL,front wheel drive,Luxury,Compact,Sedan,Acura Integra"
5941,"premium unleaded (required),MANUAL,front wheel drive,Hatchback,Luxury,Performance,Compact,2dr Hatchback,Acura Integra"
5942,"regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,Dodge Intrepid"
5943,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5944,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5945,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5946,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5947,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5948,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5949,"regular unleaded,AUTOMATIC,front wheel drive,nan,Large,Sedan,Dodge Intrepid"
5950,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5951,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5952,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5953,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5954,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5955,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5956,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5957,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5958,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Oldsmobile Intrigue"
5959,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Scion iQ"
5960,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Scion iQ"
5961,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Scion iQ"
5962,"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Scion iQ"
5963,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus IS 200t"
5964,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus IS 200t"
5965,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,Lexus IS 250 C"
5966,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,Lexus IS 250 C"
5967,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,Lexus IS 250 C"
5968,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5969,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5970,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5971,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5972,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5973,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5974,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5975,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,Lexus IS 250"
5976,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Wagon,Lexus IS 300"
5977,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Sedan,Lexus IS 300"
5978,"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Sedan,Lexus IS 300"
5979,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,Lexus IS 300"
5980,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,Lexus IS 300"
5981,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Convertible,Lexus IS 350 C"
5982,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Convertible,Lexus IS 350 C"
5983,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Performance,Compact,Convertible,Lexus IS 350 C"
5984,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,Lexus IS 350"
5985,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,Lexus IS 350"
5986,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,Lexus IS 350"
5987,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,Lexus IS 350"
5988,"premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Performance,Midsize,Sedan,Lexus IS 350"
5989,"premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,High-Performance,Midsize,Sedan,Lexus IS 350"
5990,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Lexus IS F"
5991,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Lexus IS F"
5992,"premium unleaded (required),AUTOMATIC,rear wheel drive,Factory Tuner,Luxury,High-Performance,Midsize,Sedan,Lexus IS F"
5993,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
5994,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
5995,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
5996,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
5997,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
5998,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
5999,"regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,Infiniti J30"
6000,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6001,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6002,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6003,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6004,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6005,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6006,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6007,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6008,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6009,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6010,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6011,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6012,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6013,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6014,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6015,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6016,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6017,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6018,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6019,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6020,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6021,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6022,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6023,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6024,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6025,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6026,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6027,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6028,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6029,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6030,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6031,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6032,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6033,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6034,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6035,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6036,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6037,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6038,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6039,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6040,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6041,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6042,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6043,"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Midsize,Sedan,Volkswagen Jetta GLI"
6044,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6045,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6046,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6047,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6048,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6049,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6050,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6051,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta Hybrid"
6052,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6053,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6054,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6055,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6056,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6057,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6058,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6059,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6060,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6061,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6062,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6063,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6064,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6065,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6066,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6067,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6068,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6069,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6070,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6071,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6072,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6073,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6074,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6075,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6076,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6077,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6078,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6079,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6080,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6081,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6082,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6083,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6084,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6085,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6086,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6087,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6088,"regular unleaded,MANUAL,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6089,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6090,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6091,"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Wagon,Volkswagen Jetta SportWagen"
6092,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6093,"diesel,MANUAL,front wheel drive,Diesel,Compact,Wagon,Volkswagen Jetta SportWagen"
6094,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6095,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6096,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6097,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6098,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Midsize,Sedan,Volkswagen Jetta"
6099,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6100,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6101,"diesel,MANUAL,front wheel drive,Diesel,Midsize,Sedan,Volkswagen Jetta"
6102,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6103,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6104,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Midsize,Sedan,Volkswagen Jetta"
6105,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6106,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6107,"diesel,MANUAL,front wheel drive,Diesel,Midsize,Sedan,Volkswagen Jetta"
6108,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6109,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6110,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6111,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6112,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6113,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6114,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6115,"diesel,MANUAL,front wheel drive,Diesel,Midsize,Sedan,Volkswagen Jetta"
6116,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6117,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6118,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6119,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta"
6120,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6121,"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Midsize,Sedan,Volkswagen Jetta"
6122,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6123,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6124,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6125,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6126,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6127,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6128,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6129,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6130,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6131,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6132,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6133,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6134,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6135,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6136,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6137,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6138,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6139,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6140,"premium unleaded (required),AUTOMATED_MANUAL,front wheel drive,Hybrid,Midsize,Sedan,Volkswagen Jetta"
6141,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6142,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6143,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6144,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6145,"premium unleaded (recommended),AUTOMATIC,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6146,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6147,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6148,"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6149,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6150,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6151,"regular unleaded,AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6152,"regular unleaded,MANUAL,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6153,"premium unleaded (recommended),AUTOMATIC,front wheel drive,nan,Midsize,Sedan,Volkswagen Jetta"
6154,"premium unleaded (recommended),MANUAL,front wheel drive,Factory Tuner,Performance,Midsize,Sedan,Volkswagen Jetta"
6155,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6156,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6157,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6158,"regular unleaded,UNKNOWN,rear wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6159,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6160,"regular unleaded,UNKNOWN,four wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6161,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6162,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6163,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6164,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6165,"regular unleaded,UNKNOWN,rear wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6166,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6167,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6168,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6169,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6170,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6171,"regular unleaded,MANUAL,rear wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6172,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6173,"regular unleaded,AUTOMATIC,four wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6174,"regular unleaded,UNKNOWN,four wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
6175,"regular unleaded,AUTOMATIC,rear wheel drive,nan,Midsize,4dr SUV,GMC Jimmy"
6176,"regular unleaded,MANUAL,four wheel drive,nan,Compact,2dr SUV,GMC Jimmy"
